v_products_model,v_products_image,v_products_name_1,v_products_description_1,v_products_url_1,v_specials_price,v_specials_last_modified,v_specials_expires_date,v_products_price,v_products_weight,v_last_modified,v_date_added,v_products_quantity,v_manufacturers_name,v_categories_name_1,v_categories_name_2,v_categories_name_3,v_categories_name_4,v_categories_name_5,v_categories_name_6,v_categories_name_7,v_tax_class_title,v_status,v_metatags_products_name_status,v_metatags_title_status,v_metatags_model_status,v_metatags_price_status,v_metatags_title_tagline_status,v_metatags_title_1,v_metatags_keywords_1,v_metatags_description_1
2410025,scshoe/2017022013494290531.jpg,ACE 15.1 FG - Blue Black,"<p>Size Chart</br>
Length  x Width x shoulder width</br>
S-66x50x42x58</br>
M-70x53x44x61</br>
L-72x55x46x63</br>
XL-74x58x48x65</br>
XXL-76x60x50x67</br>
-Because it is hand-gaugingThere is some errorPlease note</br>
brand  :  Supreme</br>
Color: black</br>
please note: s/s 2016</p>Color:black</br>
State: New is not used</p>",,40.99,,,120,0.5,2014/4/30 15:53,2014/4/30 15:53,1000,,Adidas,ACE 15.1,,,,,,,1,0,0,0,0,0,,,
2410026,scshoe/2017022013494312332.jpg,ACE 15.1 FG - Grey Green,,,45.99,,,120,0.5,2014/4/30 15:53,2014/4/30 15:53,1000,,Adidas,ACE 15.1,,,,,,,1,0,0,0,0,0,,,
2410027,scshoe/2017022013494320433.jpg,ACE 15.1 FG - Orange Black,,,45.99,,,120,0.5,2014/4/30 15:53,2014/4/30 15:53,1000,,Adidas,ACE 15.1,,,,,,,1,0,0,0,0,0,,,
2410028,scshoe/2017022013494330434.jpg,ACE 15.1 FG - Pure Black,,,40.99,,,120,0.5,2014/4/30 15:53,2014/4/30 15:53,1000,,Adidas,ACE 15.1,,,,,,,1,0,0,0,0,0,,,
2410029,scshoe/2017022013494341935.jpg,ACE 15.1 FG - Silver Grey,,,45.99,,,120,0.5,2014/4/30 15:53,2014/4/30 15:53,1000,,Adidas,ACE 15.1,,,,,,,1,0,0,0,0,0,,,
2410023,scshoe/2017022013494359346.jpg,ACE 15.1 FG - Black Grey,,,45.99,,,120,0.5,2014/4/30 15:53,2014/4/30 15:53,1000,,Adidas,ACE 15.1,,,,,,,1,0,0,0,0,0,,,
2410024,scshoe/2017022013494364647.jpg,ACE 15.1 FG - Black Yellow,,,45.99,,,120,0.5,2014/4/30 15:53,2014/4/30 15:53,1000,,Adidas,ACE 15.1,,,,,,,1,0,0,0,0,0,,,
2410016,scshoe/2017022013494376248.jpg,ACE 16.1 Primeknit FG - Blue White Yellow,,,49.99,,,200,0.5,2014/4/30 15:53,2014/4/30 15:53,1000,,Adidas,ACE 16.1,,,,,,,1,0,0,0,0,0,,,
2410017,scshoe/2017022013494386549.jpg,ACE 16.1 Primeknit FG - Grey Lime White,,,49.99,,,200,0.5,2014/4/30 15:53,2014/4/30 15:53,1000,,Adidas,ACE 16.1,,,,,,,1,0,0,0,0,0,,,
2410019,scshoe/20170220134943970410.jpg,ACE 16.1 FG - Blue White Yellow,,,46.99,,,120,0.5,2014/4/30 15:53,2014/4/30 15:53,1000,,Adidas,ACE 16.1,,,,,,,1,0,0,0,0,0,,,
2410020,scshoe/20170220134944092411.jpg,ACE 16.1 FG - White Black Orange,,,46.99,,,120,0.5,2014/4/30 15:53,2014/4/30 15:53,1000,,Adidas,ACE 16.1,,,,,,,1,0,0,0,0,0,,,
2410021,scshoe/20170220134944196412.jpg,ACE 16.1 FG - White Yellow Black,,,46.99,,,120,0.5,2014/4/30 15:53,2014/4/30 15:53,1000,,Adidas,ACE 16.1,,,,,,,1,0,0,0,0,0,,,
2410044,scshoe/20170220134944312413.jpg,ACE 16.1 TF - Black Red Yellow,,,36.99,,,80,0.5,2014/4/30 15:53,2014/4/30 15:53,1000,,Adidas,ACE 16.1,,,,,,,1,0,0,0,0,0,,,
2410045,scshoe/20170220134944416414.jpg,ACE 16.1 TF - Black White Orange,,,36.99,,,80,0.5,2014/4/30 15:53,2014/4/30 15:53,1000,,Adidas,ACE 16.1,,,,,,,1,0,0,0,0,0,,,
2410046,scshoe/20170220134944521415.jpg,ACE 16.1 TF - Blue White Yellow,,,36.99,,,80,0.5,2014/4/30 15:53,2014/4/30 15:53,1000,,Adidas,ACE 16.1,,,,,,,1,0,0,0,0,0,,,
2410047,scshoe/20170220134944608416.jpg,ACE 16.1 TF - Orange Black Yellow,,,36.99,,,80,0.5,2014/4/30 15:53,2014/4/30 15:53,1000,,Adidas,ACE 16.1,,,,,,,1,0,0,0,0,0,,,
2410048,scshoe/20170220134944712417.jpg,ACE 16.1 TF - Silver White Red,,,36.99,,,80,0.5,2014/4/30 15:53,2014/4/30 15:53,1000,,Adidas,ACE 16.1,,,,,,,1,0,0,0,0,0,,,
2410049,scshoe/20170220134944832418.jpg,ACE 16.1 TF - White Yellow Black,,,36.99,,,80,0.5,2014/4/30 15:53,2014/4/30 15:53,1000,,Adidas,ACE 16.1,,,,,,,1,0,0,0,0,0,,,
2410050,scshoe/20170220134944918419.jpg,ACE 16.1 TF - Yellow Red Black,,,36.99,,,80,0.5,2014/4/30 15:53,2014/4/30 15:53,1000,,Adidas,ACE 16.1,,,,,,,1,0,0,0,0,0,,,
2410067,scshoe/20170220134945005420.jpg,ACE 16.1 Primeknit FG - Black Red Green,,,49.99,,,200,0.5,2014/4/30 15:53,2014/4/30 15:53,1000,,Adidas,ACE 16.1,,,,,,,1,0,0,0,0,0,,,
2410080,scshoe/20170220134945111421.jpg,ACE 16.1 FG - Green,,,46.99,,,159,0.5,2014/4/30 15:53,2014/4/30 15:53,1000,,Adidas,ACE 16.1,,,,,,,1,0,0,0,0,0,,,
2410081,scshoe/20170220134945230422.jpg,ACE 16.1 Primeknit FG - Red,,,59.99,,,176,0.5,2014/4/30 15:53,2014/4/30 15:53,1000,,Adidas,ACE 16.1,,,,,,,1,0,0,0,0,0,,,
2410082,scshoe/20170220134945352523.jpg,ACE 16.1 Primeknit FG - Orange,,,59.99,,,176,0.5,2014/4/30 15:53,2014/4/30 15:53,1000,,Adidas,ACE 16.1,,,,,,,1,0,0,0,0,0,,,
2410083,scshoe/20170220134945473524.jpg,ACE 16.1 Primeknit FG - Black Orange,,,59.99,,,176,0.5,2014/4/30 15:53,2014/4/30 15:53,1000,,Adidas,ACE 16.1,,,,,,,1,0,0,0,0,0,,,
2410084,scshoe/20170220134945591525.jpg,ACE 16.1 Primeknit FG - Yellow Black,,,59.99,,,176,0.5,2014/4/30 15:53,2014/4/30 15:53,1000,,Adidas,ACE 16.1,,,,,,,1,0,0,0,0,0,,,
2410085,scshoe/20170220134945712526.jpg,ACE 16.1 Primeknit FG - Black Yellow,,,59.99,,,176,0.5,2014/4/30 15:53,2014/4/30 15:53,1000,,Adidas,ACE 16.1,,,,,,,1,0,0,0,0,0,,,
2410086,scshoe/20170220134945868527.jpg,ACE 16.1 Primeknit FG - Silver Yellow,,,59.99,,,176,0.5,2014/4/30 15:53,2014/4/30 15:53,1000,,Adidas,ACE 16.1,,,,,,,1,0,0,0,0,0,,,
2410087,scshoe/20170220134945990528.jpg,ACE 16.1 Primeknit FG - Silver Red,,,59.99,,,176,0.5,2014/4/30 15:53,2014/4/30 15:53,1000,,Adidas,ACE 16.1,,,,,,,1,0,0,0,0,0,,,
2410088,scshoe/20170220134946111529.jpg,ACE 16.1 Primeknit FG - Yellow Red,,,59.99,,,176,0.5,2014/4/30 15:53,2014/4/30 15:53,1000,,Adidas,ACE 16.1,,,,,,,1,0,0,0,0,0,,,
2410089,scshoe/20170220134946231530.jpg,ACE 16.1 Primeknit FG - White,,,59.99,,,176,0.5,2014/4/30 15:53,2014/4/30 15:53,1000,,Adidas,ACE 16.1,,,,,,,1,0,0,0,0,0,,,
2410090,scshoe/20170220134946354531.jpg,ACE 16+ Purecontrol FG - Blue,,,61.99,,,240,0.5,2014/4/30 15:53,2014/4/30 15:53,1000,,Adidas,ACE 16+,,,,,,,1,0,0,0,0,0,,,
2410091,scshoe/20170220134946488532.jpg,ACE 16+ Purecontrol FG - Green Yellow,,,61.99,,,240,0.5,2014/4/30 15:53,2014/4/30 15:53,1000,,Adidas,ACE 16+,,,,,,,1,0,0,0,0,0,,,
2410092,scshoe/20170220134946610533.jpg,ACE 16+ Purecontrol FG - Red Yellow,,,61.99,,,240,0.5,2014/4/30 15:53,2014/4/30 15:53,1000,,Adidas,ACE 16+,,,,,,,1,0,0,0,0,0,,,
2410093,scshoe/20170220134946730534.jpg,ACE 16+ Purecontrol FG - Grass-Green,,,61.99,,,240,0.5,2014/4/30 15:53,2014/4/30 15:53,1000,,Adidas,ACE 16+,,,,,,,1,0,0,0,0,0,,,
2410094,scshoe/20170220134946851535.jpg,ACE 16+ Purecontrol FG - Black,,,61.99,,,240,0.5,2014/4/30 15:53,2014/4/30 15:53,1000,,Adidas,ACE 16+,,,,,,,1,0,0,0,0,0,,,
2410095,scshoe/20170220134946972536.jpg,ACE 16+ Purecontrol FG - Green,,,61.99,,,240,0.5,2014/4/30 15:53,2014/4/30 15:53,1000,,Adidas,ACE 16+,,,,,,,1,0,0,0,0,0,,,
2410096,scshoe/20170220134947094637.jpg,ACE 16+ Purecontrol FG - Black Green,,,61.99,,,240,0.5,2014/4/30 15:53,2014/4/30 15:53,1000,,Adidas,ACE 16+,,,,,,,1,0,0,0,0,0,,,
2410097,scshoe/20170220134947216638.jpg,ACE 16+ Purecontrol FG - Rainbow,,,61.99,,,240,0.5,2014/4/30 15:53,2014/4/30 15:53,1000,,Adidas,ACE 16+,,,,,,,1,0,0,0,0,0,,,
2410098,scshoe/20170220134947336639.jpg,ACE 16+ Purecontrol FG - Black Brown,,,61.99,,,240,0.5,2014/4/30 15:53,2014/4/30 15:53,1000,,Adidas,ACE 16+,,,,,,,1,0,0,0,0,0,,,
2410099,scshoe/20170220134947456640.jpg,ACE 16+ Purecontrol FG - Silver Yellow,,,61.99,,,240,0.5,2014/4/30 15:53,2014/4/30 15:53,1000,,Adidas,ACE 16+,,,,,,,1,0,0,0,0,0,,,
2410100,scshoe/20170220134947577641.jpg,ACE 16+ Purecontrol FG - Red Green,,,61.99,,,240,0.5,2014/4/30 15:53,2014/4/30 15:53,1000,,Adidas,ACE 16+,,,,,,,1,0,0,0,0,0,,,
